Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
August Demo,Chrome 68.0.3440.106,"Login, Runs Payroll, Every Page of PR",2018-08-27 11:08:30,2018-08-27 11:10:22,1m - 52.486s,PASSED
,,,,,,
Test Cases/EveryPage in PR,Chrome 68.0.3440.106,,2018-08-27 11:08:30,2018-08-27 11:09:52,1m - 21.968s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 11:08:31,2018-08-27 11:08:34,3.148s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:34,2018-08-27 11:08:35,0.545s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 11:08:35,2018-08-27 11:08:35,0.238s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-27 11:08:35,2018-08-27 11:08:35,0.345s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:08:35,2018-08-27 11:08:36,0.873s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:08:36,2018-08-27 11:08:37,0.530s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:08:37,2018-08-27 11:08:39,2.004s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:08:39,2018-08-27 11:08:39,0.122s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 11:08:39,2018-08-27 11:08:44,5.027s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:44,2018-08-27 11:08:44,0.617s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:44,2018-08-27 11:08:45,0.542s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:45,2018-08-27 11:08:46,0.523s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:46,2018-08-27 11:08:46,0.535s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:46,2018-08-27 11:08:47,0.521s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:47,2018-08-27 11:08:47,0.531s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:47,2018-08-27 11:08:48,0.400s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:48,2018-08-27 11:08:48,0.502s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:48,2018-08-27 11:08:49,0.520s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:49,2018-08-27 11:08:49,0.458s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:49,2018-08-27 11:08:49,0.434s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 11:08:49,2018-08-27 11:08:51,2.007s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:51,2018-08-27 11:08:54,2.591s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:54,2018-08-27 11:08:55,0.534s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:55,2018-08-27 11:08:55,0.401s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:55,2018-08-27 11:08:55,0.411s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 11:08:55,2018-08-27 11:08:57,2.006s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:57,2018-08-27 11:08:58,0.459s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:58,2018-08-27 11:08:58,0.538s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:58,2018-08-27 11:08:59,0.568s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:59,2018-08-27 11:08:59,0.458s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:08:59,2018-08-27 11:09:00,0.530s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:00,2018-08-27 11:09:02,2.411s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:02,2018-08-27 11:09:03,0.465s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 11:09:03,2018-08-27 11:09:05,2.005s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:05,2018-08-27 11:09:05,0.566s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:05,2018-08-27 11:09:06,0.491s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:06,2018-08-27 11:09:06,0.518s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:06,2018-08-27 11:09:07,0.498s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:07,2018-08-27 11:09:07,0.501s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:07,2018-08-27 11:09:08,0.462s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 11:09:08,2018-08-27 11:09:10,2.003s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:10,2018-08-27 11:09:11,0.660s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:11,2018-08-27 11:09:11,0.614s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:11,2018-08-27 11:09:12,0.866s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:12,2018-08-27 11:09:13,0.540s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:13,2018-08-27 11:09:13,0.415s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:13,2018-08-27 11:09:14,0.542s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:14,2018-08-27 11:09:14,0.433s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 11:09:14,2018-08-27 11:09:16,2.007s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:16,2018-08-27 11:09:19,2.706s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:19,2018-08-27 11:09:19,0.436s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:19,2018-08-27 11:09:20,0.457s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:20,2018-08-27 11:09:20,0.513s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:20,2018-08-27 11:09:21,0.505s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 11:09:21,2018-08-27 11:09:23,2.005s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:23,2018-08-27 11:09:23,0.382s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:23,2018-08-27 11:09:24,1.042s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:24,2018-08-27 11:09:24,0.421s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:24,2018-08-27 11:09:25,0.397s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 11:09:25,2018-08-27 11:09:27,2.007s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:27,2018-08-27 11:09:27,0.428s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:27,2018-08-27 11:09:28,0.366s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:28,2018-08-27 11:09:28,0.510s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:28,2018-08-27 11:09:29,0.433s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:29,2018-08-27 11:09:29,0.403s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:29,2018-08-27 11:09:29,0.378s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:29,2018-08-27 11:09:30,0.409s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:30,2018-08-27 11:09:30,0.354s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:30,2018-08-27 11:09:31,0.460s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 11:09:31,2018-08-27 11:09:33,2.003s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:33,2018-08-27 11:09:33,0.723s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:33,2018-08-27 11:09:34,0.531s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:34,2018-08-27 11:09:34,0.483s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:34,2018-08-27 11:09:35,0.532s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:35,2018-08-27 11:09:35,0.465s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:35,2018-08-27 11:09:36,0.384s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 11:09:36,2018-08-27 11:09:38,2.005s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:38,2018-08-27 11:09:38,0.533s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:38,2018-08-27 11:09:39,0.514s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:39,2018-08-27 11:09:39,0.474s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:39,2018-08-27 11:09:40,0.377s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:40,2018-08-27 11:09:40,0.368s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:40,2018-08-27 11:09:40,0.421s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:40,2018-08-27 11:09:41,0.699s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 11:09:41,2018-08-27 11:09:43,2.004s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:43,2018-08-27 11:09:43,0.406s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:43,2018-08-27 11:09:44,0.499s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:44,2018-08-27 11:09:45,0.546s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:45,2018-08-27 11:09:45,0.456s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:45,2018-08-27 11:09:46,0.661s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 11:09:46,2018-08-27 11:09:48,2.008s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:09:48,2018-08-27 11:09:48,0.210s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:09:48,2018-08-27 11:09:49,0.915s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:09:49,2018-08-27 11:09:49,0.514s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-27 11:09:49,2018-08-27 11:09:50,0.752s,PASSED
,,,,,,
Test Cases/Run Payroll,Chrome 68.0.3440.106,,2018-08-27 11:09:52,2018-08-27 11:10:15,22.581s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 11:09:52,2018-08-27 11:09:55,2.106s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:09:55,2018-08-27 11:09:55,0.537s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 11:09:55,2018-08-27 11:09:55,0.179s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-27 11:09:55,2018-08-27 11:09:55,0.167s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:09:55,2018-08-27 11:09:56,0.785s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:09:56,2018-08-27 11:09:57,0.497s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:09:57,2018-08-27 11:10:00,3.487s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:10:00,2018-08-27 11:10:00,0.125s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 11:10:00,2018-08-27 11:10:05,5.005s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:10:05,2018-08-27 11:10:06,0.764s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:10:06,2018-08-27 11:10:06,0.125s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:10:06,2018-08-27 11:10:10,3.848s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:10:10,2018-08-27 11:10:13,2.572s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:10:13,2018-08-27 11:10:13,0.116s,PASSED
,,,,,,
Test Cases/TwoFactor Test Case,Chrome 68.0.3440.106,,2018-08-27 11:10:15,2018-08-27 11:10:22,7.569s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 11:10:15,2018-08-27 11:10:18,2.949s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:10:18,2018-08-27 11:10:19,0.508s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 11:10:19,2018-08-27 11:10:19,0.167s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-27 11:10:19,2018-08-27 11:10:19,0.165s,PASSED
click,Chrome 68.0.3440.106,Clicks on the login button ,2018-08-27 11:10:19,2018-08-27 11:10:20,0.780s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-27 11:10:20,2018-08-27 11:10:20,0.666s,PASSED
